[INFO] [launch]: All log files can be found below /home/neko/.ros/log/2024-01-26-12-24-39-654792-nekobus-2575
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [ydlidar_ros2_driver_node-1]: process started with pid [2586]
[INFO] [controller_lazer-4]: process started with pid [2592]
[INFO] [static_transform_publisher-2]: process started with pid [2588]
[INFO] [servo-3]: process started with pid [2590]
[INFO] [rviz2-5]: process started with pid [2594]
[static_transform_publisher-2] [WARN] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-2] [INFO] [static_tf_pub_laser]: Spinning until stopped - publishing transform
[static_transform_publisher-2] translation: ('0.000000', '0.000000', '0.020000')
[static_transform_publisher-2] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-2] from 'base_link' to 'laser_frame'
[ydlidar_ros2_driver_node-1] [0m[INFO] [ydlidar_ros2_driver_node]: [YDLIDAR INFO] Current ROS Driver Version: 1.0.1
[ydlidar_ros2_driver_node-1] [0m
[ydlidar_ros2_driver_node-1] [YDLIDAR] SDK initializing
[ydlidar_ros2_driver_node-1] [YDLIDAR] SDK has been initialized
[ydlidar_ros2_driver_node-1] [YDLIDAR] SDK Version: 1.1.21
[rviz2-5] qt.qpa.xcb: could not connect to display 
[rviz2-5] qt.qpa.plugin: Could not load the Qt platform plugin "xcb" in "" even though it was found.
[rviz2-5] This application failed to start because no Qt platform plugin could be initialized. Reinstalling the application may fix this problem.
[rviz2-5] 
[rviz2-5] Available platform plugins are: eglfs, linuxfb, minimal, minimalegl, offscreen, vnc, xcb.
[rviz2-5] 
[ydlidar_ros2_driver_node-1] [YDLIDAR] Lidar successfully connected [/dev/ttyUSB0:115200]
[ydlidar_ros2_driver_node-1] [YDLIDAR] Lidar running correctly! The health status: good
[ydlidar_ros2_driver_node-1] [YDLIDAR] Lidar init success, Elapsed time 644 ms
[ydlidar_ros2_driver_node-1] [YDLIDAR] Fail to get baseplate device information
[controller_lazer-4] improt done
[controller_lazer-4] /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/qos.py:307: UserWarning: ReliabilityPolicy.RMW_QOS_POLICY_RELIABILITY_BEST_EFFORT is deprecated. Use ReliabilityPolicy.BEST_EFFORT instead.
[controller_lazer-4]   warnings.warn(
[controller_lazer-4] /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/qos.py:307: UserWarning: HistoryPolicy.RMW_QOS_POLICY_HISTORY_KEEP_LAST is deprecated. Use HistoryPolicy.KEEP_LAST instead.
[controller_lazer-4]   warnings.warn(
[ERROR] [rviz2-5]: process has died [pid 2594, exit code -6, cmd '/opt/ros/humble/lib/rviz2/rviz2 -d /home/neko/Documents/Car/ydlidar_ros2_ws/install/ydlidar_ros2_driver/share/ydlidar_ros2_driver/config/ydlidar.rviz --ros-args -r __node:=rviz2'].
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: ------------- params -----------[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: conv_num:   21[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: speed_func: 1202[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: angle_func: 5[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: sleep_msec: 0[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: --------------------------------[0m
[ydlidar_ros2_driver_node-1] [YDLIDAR] Start to getting intensity flag
[ydlidar_ros2_driver_node-1] [YDLIDAR] Auto set intensity 0
[ydlidar_ros2_driver_node-1] [YDLIDAR] End to getting intensity flag
[ydlidar_ros2_driver_node-1] [YDLIDAR] Create thread 0x9CC5A8E0
[ydlidar_ros2_driver_node-1] [YDLIDAR] Successed to start scan mode, Elapsed time 2717 ms
[ydlidar_ros2_driver_node-1] [YDLIDAR] Fixed Size: 720
[ydlidar_ros2_driver_node-1] [YDLIDAR] Sample Rate: 3.00K
[ydlidar_ros2_driver_node-1] [YDLIDAR] Fixed Size: 720
[ydlidar_ros2_driver_node-1] [YDLIDAR] Sample Rate: 3.00K
[ydlidar_ros2_driver_node-1] [YDLIDAR] Fixed Size: 720
[ydlidar_ros2_driver_node-1] [YDLIDAR] Sample Rate: 3.00K
[ydlidar_ros2_driver_node-1] [YDLIDAR] Single Fixed Size: 260
[ydlidar_ros2_driver_node-1] [YDLIDAR] Sample Rate: 3.00K
[ydlidar_ros2_driver_node-1] [YDLIDAR] Successed to check the lidar, Elapsed time 329 ms
[ydlidar_ros2_driver_node-1] [YDLIDAR] Now lidar is scanning...
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:44 {max_angle:   44.83, actual_angle:   44.83, max_dist:    0.46, speed:    3.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:44 {max_angle:   44.83, actual_angle:   22.41, max_dist:    0.57, speed:    3.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:44 {max_angle:  -45.52, actual_angle:  -22.76, max_dist:    0.71, speed:    3.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:44 {max_angle:  -42.74, actual_angle:  -21.37, max_dist:    0.93, speed:    3.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:44 {max_angle:  -44.13, actual_angle:  -17.65, max_dist:    1.00, speed:    3.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:   26.76, actual_angle:   10.70, max_dist:    1.03, speed:    3.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:   17.03, actual_angle:    6.81, max_dist:    1.68, speed:    3.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:   -1.04, actual_angle:   -0.31, max_dist:    3.86, speed:   10.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:   -1.04, actual_angle:   -0.31, max_dist:    3.86, speed:   10.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:   -1.04, actual_angle:   -0.31, max_dist:    3.86, speed:   10.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:   -1.04, actual_angle:   -0.31, max_dist:    3.67, speed:   10.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:   -1.04, actual_angle:   -0.31, max_dist:    3.79, speed:   10.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:    0.35, actual_angle:    0.10, max_dist:    3.74, speed:   10.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:    0.35, actual_angle:    0.10, max_dist:    3.64, speed:   10.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:    0.35, actual_angle:    0.10, max_dist:    3.39, speed:    7.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:   -1.04, actual_angle:   -0.31, max_dist:    3.30, speed:    7.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:45 {max_angle:   -1.04, actual_angle:   -0.31, max_dist:    3.33, speed:    7.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:   -2.43, actual_angle:   -0.73, max_dist:    3.08, speed:    7.00}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:   -3.82, actual_angle:   -1.15, max_dist:    2.94, speed:    6.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:   -3.82, actual_angle:   -1.15, max_dist:    2.94, speed:    6.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:   -6.60, actual_angle:   -1.98, max_dist:    2.82, speed:    6.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:   -7.99, actual_angle:   -2.40, max_dist:    2.54, speed:    5.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:  -10.77, actual_angle:   -3.23, max_dist:    2.42, speed:    5.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:  -13.55, actual_angle:   -4.07, max_dist:    2.53, speed:    5.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:  -19.11, actual_angle:   -5.73, max_dist:    2.48, speed:    5.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:  -26.06, actual_angle:   -7.82, max_dist:    2.41, speed:    5.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:  -30.23, actual_angle:   -9.07, max_dist:    2.46, speed:    5.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:  -37.18, actual_angle:  -11.15, max_dist:    2.72, speed:    6.50}[0m
[controller_lazer-4] [0m[INFO] [controller_lazer_node]: 12:24:46 {max_angle:  -39.96, actual_angle:  -11.99, max_dist:    2.96, speed:    6.50}[0m
